Date,Open,High,Low,Close,Volume,Adj Close
2014-11-03,41.77,42.18,41.52,41.93,1143400,41.93
2014-11-04,41.77,41.77,40.869999,41.52,1270200,41.52
2014-11-05,41.580002,41.709999,41.130001,41.290001,905000,41.290001
2014-11-06,41.209999,42.990002,41.209999,42.779999,1872900,42.779999
2014-11-07,42.450001,43.889999,42.360001,43.759998,1800500,43.759998
2014-11-10,43.689999,44.549999,42.810001,43.299999,1552700,43.299999
2014-11-11,43.18,43.349998,42.66,43.18,1411400,43.18
2014-11-12,43.18,45.950001,43.150002,45.66,3809100,45.66
2014-11-13,45.77,46.25,44.869999,45.189999,3556800,45.189999
2014-11-14,44.27,45.34,44.150002,44.990002,1980100,44.990002
2014-11-17,44.98,45.080002,44.240002,44.419998,1501600,44.419998
2014-11-18,45.299999,45.970001,44.73,44.799999,3126500,44.799999
2014-11-19,44.970001,45.689999,44.619999,45.599998,1549000,45.599998
2014-11-20,45.599998,47.18,45.299999,45.880001,2910400,45.880001
2014-11-21,46.599998,47.150002,45.939999,46.91,2402400,46.91
2014-11-24,46.900002,47.32,46.299999,46.93,3844500,46.93
2014-11-25,47.389999,49.34,47.150002,48.669998,5252700,48.669998
2014-11-26,49.080002,49.200001,47.860001,48.34,1749800,48.34
2014-11-28,48.630001,48.93,48.119999,48.189999,968300,48.189999
2014-12-01,48.189999,48.23,46.82,47.040001,2826000,47.040001
2014-12-02,46.490002,47.0,45.810001,46.060001,2125500,46.060001
2014-12-03,46.060001,46.59,45.389999,45.709999,2407000,45.709999
2014-12-04,45.900002,47.18,45.599998,45.919998,3485500,45.919998
2014-12-05,45.939999,46.110001,44.970001,45.509998,3049200,45.509998
2014-12-08,45.529999,45.700001,44.360001,44.93,3617300,44.93
2014-12-09,45.720001,47.880001,45.709999,47.73,5861000,47.73
2014-12-10,48.09,48.720001,46.490002,46.700001,7331600,46.700001
2014-12-11,49.889999,52.169998,49.650002,50.959999,15884400,50.959999
2014-12-12,51.09,53.880001,50.93,52.950001,9102400,52.950001
2014-12-15,52.91,54.41,52.650002,53.869999,4582100,53.869999
2014-12-16,53.439999,53.84,52.349998,52.5,3204200,52.5
2014-12-17,52.57,53.349998,52.389999,53.240002,2302700,53.240002
2014-12-18,54.0,54.099998,52.57,53.150002,2580900,53.150002
2014-12-19,53.139999,53.630001,52.540001,53.5,2825900,53.5
2014-12-22,53.889999,54.41,53.549999,53.959999,1776500,53.959999
2014-12-23,53.950001,55.16,53.91,54.560001,1933200,54.560001
2014-12-24,54.349998,55.0,54.080002,54.400002,510300,54.400002
2014-12-26,54.360001,55.029999,54.310001,54.77,963000,54.77
2014-12-29,54.919998,56.400002,54.720001,55.380001,2633100,55.380001
2014-12-30,54.5,55.919998,54.32,55.75,1544800,55.75
2014-12-31,55.630001,56.93,55.34,55.790001,1782900,55.790001
2015-01-02,56.009998,56.799999,54.650002,55.34,1648400,55.34
2015-01-05,56.34,57.48,55.68,55.959999,3149600,55.959999
2015-01-06,55.84,56.150002,54.419998,55.57,3406200,55.57
2015-01-07,56.27,58.009998,56.16,57.650002,5047500,57.650002
2015-01-08,58.25,59.650002,58.0,59.07,5225200,59.07
2015-01-09,58.869999,59.220001,57.849998,58.630001,2238100,58.630001
2015-01-12,62.400002,63.799999,61.360001,62.59,10326700,62.59
2015-01-13,62.700001,64.269997,62.689999,63.060001,3620000,63.060001
2015-01-14,62.32,63.400002,61.5,63.400002,3441700,63.400002
2015-01-15,63.470001,63.900002,62.049999,62.509998,2428100,62.509998
2015-01-16,62.25,63.049999,61.360001,63.0,2405900,63.0
2015-01-20,63.0,63.23,62.290001,63.0,1698100,63.0
2015-01-21,63.0,63.59,62.52,62.860001,1685500,62.860001
2015-01-22,63.029999,64.279999,62.369999,63.759998,1996500,63.759998
2015-01-23,65.769997,66.709999,65.400002,66.199997,4607700,66.199997
2015-01-26,65.940002,66.760002,65.18,66.760002,2095300,66.760002
2015-01-27,66.129997,67.709999,65.550003,67.480003,1900400,67.480003
2015-01-28,67.550003,67.690002,66.040001,66.160004,1664900,66.160004
2015-01-29,65.980003,67.459999,65.82,67.190002,2093900,67.190002
2015-01-30,66.900002,67.040001,65.849998,66.239998,2603700,66.239998
2015-02-02,66.239998,66.470001,64.830002,65.519997,2317500,65.519997
2015-02-03,65.589996,66.739998,65.220001,66.489998,2051400,66.489998
2015-02-04,66.400002,66.949997,65.580002,65.660004,1764100,65.660004
2015-02-05,65.739998,65.989998,64.910004,65.290001,1624600,65.290001
2015-02-06,65.230003,65.459999,64.040001,64.440002,1947700,64.440002
2015-02-09,64.290001,65.669998,64.209999,65.43,1311300,65.43
2015-02-10,65.540001,66.150002,65.18,65.760002,978300,65.760002
2015-02-11,65.129997,65.849998,64.849998,65.589996,972600,65.589996
2015-02-12,65.629997,66.400002,64.699997,66.040001,1145000,66.040001
2015-02-13,66.199997,66.629997,65.669998,65.980003,1133400,65.980003
2015-02-17,65.510002,66.239998,64.849998,66.0,1140700,66.0
2015-02-18,65.769997,66.989998,65.5,66.419998,1075500,66.419998
2015-02-19,66.419998,67.900002,66.419998,66.889999,1299200,66.889999
2015-02-20,67.059998,67.550003,66.360001,67.370003,1038600,67.370003
2015-02-23,67.0,67.25,65.970001,66.080002,1215800,66.080002
2015-02-24,66.099998,66.690002,65.769997,66.099998,808000,66.099998
2015-02-25,66.160004,67.690002,65.830002,67.089996,1334700,67.089996
2015-02-26,67.199997,67.470001,66.300003,66.480003,1123100,66.480003
2015-02-27,66.650002,68.690002,66.419998,68.440002,2116600,68.440002
2015-03-02,68.589996,68.989998,66.540001,67.489998,1733600,67.489998
2015-03-03,67.169998,67.470001,65.470001,65.870003,1664200,65.870003
2015-03-04,65.699997,66.330002,64.860001,65.519997,1459800,65.519997
2015-03-05,65.639999,68.0,64.730003,64.849998,2183300,64.849998
2015-03-06,62.16,62.59,60.549999,62.299999,5404100,62.299999
2015-03-09,62.299999,62.490002,61.380001,62.240002,2136800,62.240002
2015-03-10,62.16,62.59,61.599998,62.080002,1482600,62.080002
2015-03-11,61.93,62.68,61.75,62.27,891900,62.27
2015-03-12,62.389999,63.220001,61.66,62.82,1389000,62.82
2015-03-13,63.130001,64.099998,62.709999,63.119999,1746400,63.119999
2015-03-16,63.23,64.0,63.209999,63.610001,824000,63.610001
2015-03-17,63.5,64.5,63.369999,64.419998,1093500,64.419998
2015-03-18,64.400002,64.639999,63.43,64.400002,1280200,64.400002
2015-03-19,63.75,64.540001,63.669998,64.400002,1235600,64.400002
2015-03-20,64.470001,66.18,64.309998,65.739998,3122800,65.739998
2015-03-23,64.529999,64.550003,62.59,63.709999,3780100,63.709999
2015-03-24,63.310001,64.360001,63.169998,63.299999,2279300,63.299999
2015-03-25,63.299999,63.400002,60.689999,60.959999,4822000,60.959999
2015-03-26,62.540001,66.889999,61.799999,63.970001,8889000,63.970001
2015-03-27,63.740002,64.5,62.630001,64.32,2901600,64.32
2015-03-30,64.43,65.849998,64.43,64.830002,1835200,64.830002
2015-03-31,65.5,65.550003,64.010002,64.019997,1816400,64.019997
2015-04-01,64.300003,64.300003,62.619999,63.099998,1608300,63.099998
2015-04-02,62.84,64.059998,62.759998,63.349998,1168600,63.349998
2015-04-06,63.59,65.160004,63.400002,64.410004,1703700,64.410004
2015-04-07,64.459999,67.330002,64.110001,66.410004,3183900,66.410004
2015-04-08,68.0,69.940002,67.900002,68.709999,4911500,68.709999
2015-04-09,68.25,69.900002,68.080002,69.769997,2672200,69.769997
2015-04-10,69.709999,70.0,68.839996,68.860001,2024600,68.860001
2015-04-13,68.870003,69.120003,68.010002,68.199997,1160600,68.199997
2015-04-14,68.0,68.139999,66.93,67.650002,1987600,67.650002
2015-04-15,67.580002,68.220001,67.260002,67.389999,1004900,67.389999
2015-04-16,67.360001,68.080002,67.099998,67.5,870600,67.5
2015-04-17,66.910004,67.18,66.419998,66.699997,1240700,66.699997
2015-04-20,65.970001,66.410004,65.519997,66.190002,1506100,66.190002
2015-04-21,65.989998,66.68,65.730003,66.349998,779900,66.349998
2015-04-22,66.360001,66.5,65.629997,65.669998,685700,65.669998
2015-04-23,65.5,66.82,65.349998,66.480003,855500,66.480003
2015-04-24,66.43,67.389999,66.160004,66.940002,844800,66.940002
2015-04-27,67.5,67.660004,65.519997,65.57,1124900,65.57
2015-04-28,65.360001,65.57,63.959999,64.660004,1220200,64.660004
2015-04-29,64.580002,65.059998,63.720001,64.699997,1363800,64.699997
2015-04-30,64.480003,65.089996,63.549999,63.639999,1807000,63.639999
